ءی	i
آء	A
آءینده	A i n d_d A
آجاتا	A d_Z A t_d A
آجاتے	A d_Z A t_d e
آخرکیوں	A x y r k i o~
یں	i~
آوروں	A v y r o~
آوزوں	A v y z o~
آگءے	A g y e
آگر	A g y r
ا	m A
اءیر	i r
ادارۂ	y d_d A r q
اداشت	y d_d A S t_d
اسحق	i s h y q
اسٹریٹیجک	i s t' y r i t' e d_Z i k
اعضاء	y z A
اغاز	y 7 A z
اغواء	i 7 v A
افظار	y f z A r
الخلا	U l x y l A
الدین	U d_d d_d i n
الرفق	y l y r f i q
الشان	S A n
الصرف	s i r i f
الناس	U l i s
النحو	U l n y h u
الے	U l e
انتهاء	i n t_d y h A
انسٹی	i n s t' i
انٹرنیشل	i n t' y r n e S y l
انڈراءیڈ	i n d' y r A i d'
انڈیز	i n d' i z
انگھنے	y N n e
اوبر	o b y r
اوران	o r A n
اوراپنے	o r A p n e
اوراینجل	o r Y n d_Z y l
اوگرا	o g y r A
اٹھاره	U t'_h A r A
اچھنبے	U t_S_h i m b e
ایشن	e S y n
بادشا	b A d_d i S A
بالاخر	b A l A x y r
بانٹاجا	b A n t' A d_Z A
بجاکر	b y d_Z A k y r
بحثیت	b y h s i j y t_d
بحیرے	b y h i r e
بدلتاهے	b y d_d y l t_d A h e
برابرتنخوا	b y r A b y r t_d n y x A
وں	o~
داغ	d_d A 7
برقراری	b y r q U r A r i
بلتت	b y l t_d y t_d
بلکھڑ	b l i k_h y r'
نقطع	n q y t_d t_d e
بوڑھاهو	b o r'_h A h o
بڑاتے	b y r' A t_d e
بھلاء	b_h U l A
بیجھے	b i d_Z_h e
بیٹابیٹی	b e t' A b e t' i
بیچار	b e t_S A r
بیھٹک	b e y t' k
بےلاحقی	b e l A h y q i
بےچارا	b e t_S A r A
ت	t_d
تجویدالقرآن	t_d y d_Z v i d_d A l q U r A n
تصورکرکے	t_d y s u r k y r k e
تنخوا	t_d n y x A
تهه	t_d y h A
تواب	t_d y v A b
توسونے	t_d o s u n e
تونهیں	t_d i~
تیونسی	t_d i o n s i
جاتااور	d_Z A t_d A o r
جاتاهے	d_Z A t_d A h e
جارحیت	d_Z A r e h y j y t_d
جارها	d_Z A r y h A
جارهی	d_Z A r y h i
جاسویا	d_Z A s y v i j A
جاسکتا	i s k t_d A
جذبا	d_Z y z y b A
جران	d_Z y r A n
جنجھور	d_Z y n d_Z_h o r
جهنوں	d_Z y h n o~
جوده	d_Z u d_d A
جولیٹ	d_Z u l i t'
حاسدا	h A s i d_d A
حدتک	h y d_d d_d y t_d k
حقانیه	h y q A n i j A
حقو	h y q u
حوصلی	h y v y s l i
حیتوں	h i j y t_d o~
خوا	x A
خوابیں	x i~
خوفناک	x u f y n A k
خیبرپختونخوا	x Y b y r p U x t_d u n y x A
خیرجب	i r d_Z y b
داریا	d_d A r i j A
