ءی	1.0	i
آ 1.0	A 
آء	1.0	A
آءل 1.0	A i l 
آءنده 1.0	A i n dd A 
آءی 1.0	A i 
آءینده	1.0	A i n dd A
آءیڈیا 1.0	A i d' i j A 
آءیں 1.0	A i~ 
آءے 1.0	A e 
آب 1.0	A b 
آباد 1.0	A b A dd 
آبادی 1.0	A b A dd i 
آبادیوں 1.0	A b A dd i o~ 
آتا 1.0	A td A 
آتاهے 1.0	A td A h Y 
آتش 1.0	A td i S 
آتشزدگی 1.0	A td i S z y dd g i 
آتی 1.0	A td i 
آتے 1.0	A td e 
آج 1.0	A dZ 
آجاءے 1.0	A dZ A e 
آجاتا	1.0	A dZ A td A
آجاتے	1.0	A dZ A td e
آخر 1.0	A x i r 
آخرکیوں	1.0	A x y r k i o~
آخری 1.0	A x i r i 
آدمی 1.0	A dd m i 
آدھا 1.0	A ddh A 
آدھی 1.0	A ddh i 
آدھے 1.0	A ddh e 
آرام 1.0	A r A m 
آرها 1.0	A r y h A 
آرهی 1.0	A r y h i 
آزاد 1.0	A z A dd 
آزادی 1.0	A z A dd i 
آزما 1.0	A z m A 
آزماءشی 1.0	A z m A i S i 
آس 1.0	A s 
آسان 1.0	A s A n 
آسانی 1.0	A s A n i 
آسمان 1.0	A s m A n 
آصف 1.0	A s y f 
آغاز 1.0	A 7 A z 
آف 1.0	A f 
آفات 1.0	A f A td 
آفس 1.0	A f i s 
آقا 1.0	A q A 
آل 1.0	A l 
آلو 1.0	A l u 
آمدورفت 1.0	A m dd o r y f td 
آن 1.0	A n 
آنرز 1.0	A n y r z 
آنسو 1.0	A n s u 
آنٹی 1.0	A n t' i 
آنچ 1.0	A n tS 
آنکھوں 1.0	A~ kh o~ 
آنکھیں 1.0	A~ kh e~ 
آنے 1.0	A n e 
آواز 1.0	A v A z 
آوازوں 1.0	A v A z o~ 
آوازیں 1.0	A v A z e~ 
آوروں	1.0	A v y r o~
آوزوں	1.0	A v y z o~
آٹھ 1.0	A t'h 
آپ 1.0	A p 
آپریشن 1.0	A p r e S y n 
آکر 1.0	A k y r 
آکسیجن 1.0	A k s i dZ y n 
آگ 1.0	A g 
آگءے	1.0	A g y e
آگاهی 1.0	A g A h i 
آگر	1.0	A g y r
آگهی 1.0	A g y h i 
آگے 1.0	A g e 
آیا 1.0	A j A 
آیات 1.0	A j A td 
ا	1.0	m A
اءرلاءن 1.0	e y r l A i n 
اءیر	1.0	i r
اب 1.0	y b 
ابتداءی 1.0	i b td i dd A i 
ابتر 1.0	y b td y r 
ابهام 1.0	i b h A m 
ابو 1.0	y b u 
ابوبکر 1.0	y b u b y k r 
