اب 1.0	y b 
اتار 1.0	U td A r 
اتنی 1.0	i td n i 
اجناس 1.0	y dZ n A s 
احساس 1.0	i h s A s 
اداروں 1.0	i dd A r o~ 
ارب 1.0	y r y b 
اربوں 1.0	y r b o~ 
اس 1.0	U s 
اس 1.0	i s 
اسمگل 1.0	i s m y g y l 
اسٹور 1.0	i s t' o r 
اسٹیکر 1.0	i s t' i k y r 
اسکیمیں 1.0	i s k i m e~ 
اسی 1.0	y s s i 
اسے 1.0	U s e 
اسے 1.0	i s e 
اضافه 1.0	i z A f A 
امریکی 1.0	y m r i k i 
ان 1.0	U n 
ان 1.0	i n 
ان 1.0	y n 
انتها 1.0	i n td i h A 
انسانوں 1.0	i n s A n o~ 
انقلاب 1.0	i n q i l A b 
انهوں 1.0	U n o~ 
انهوں 1.0	U nh o 
انهوں 1.0	U nh o~ 
انهوں 1.0	i n o~ 
انهوں 1.0	i nh o 
انهوں 1.0	i nh o~ 
انهیں 1.0	U n e~ 
انهیں 1.0	U nh e 
انهیں 1.0	U nh e~ 
انهیں 1.0	i n e~ 
انهیں 1.0	i nh e 
انهیں 1.0	i nh e~ 
انیس 1.0	U n n i s 
اهمیت 1.0	y h m i j y td 
اور 1.0	O r 
اور 1.0	o r 
اورنج 1.0	o r y n dZ 
اٹھا 1.0	U t'h A 
اپنی 1.0	y p n i 
اپنے 1.0	y p n e 
اکھاڑ 1.0	U kh A r' 
اگاءیں 1.0	U g A i~ 
اگر 1.0	y g y r 
ایشیاءی 1.0	e S i j A i 
ایف 1.0	Y f 
ایم 1.0	Y m 
ایک 1.0	e k 
ایگری 1.0	Y g r i 
بات 1.0	b A td 
باعث 1.0	b A i s 
بالکل 1.0	b i l k U l 
بانوے 1.0	b A n v e 
باوجود 1.0	b A v U dZ u dd 
بجاءے 1.0	b y dZ A e 
بجلی 1.0	b i dZ l i 
بجٹ 1.0	b y dZ y t' 
بحران 1.0	b U h r A n 
بخشتا 1.0	b y x S td A 
بدترین 1.0	b y dd td y r i n 
برابر 1.0	b y r A b y r 
برانڈڈ 1.0	b y r A n d' i d' 
برد 1.0	b U r dd 
بس 1.0	b y s 
بسر 1.0	b i s y r 
بلکه 1.0	b y l k e 
بلین 1.0	b i l i j y n 
بنا 1.0	b U n A 
بناءے 1.0	b y n A e 
بناتا 1.0	b y n A td A 
بنتے 1.0	b U n td e 
بنگله 1.0	b y N l A 
بنیادی 1.0	b U n j A dd i 
بولتا 1.0	b o l td A 
بچ 1.0	b y tS 
بڑھی 1.0	b y r'h i 
بڑی 1.0	b y r' i 
بڑے 1.0	b y r' e 
بھارت 1.0	bh A r y td 
بھر 1.0	bh y r 
بھرنے 1.0	bh y r n e 
بھٹو 1.0	bh U t' t' o 
بھی 1.0	bh i 
بیج 1.0	b i dZ 
بیس 1.0	b i s 
بیشتر 1.0	b e S td y r 
بین 1.0	b e n 
بے 1.0	b e 
تا 1.0	td A 
تاءیوان 1.0	td A i v A n 
تازه 1.0	td A z A 
تاکه 1.0	td A k e 
تجارت 1.0	td i dZ A r y td 
تحاشا 1.0	td y h A S A 
تحفظ 1.0	td y h y f f U z 
تر 1.0	td y r 
ترانوے 1.0	td i r A n v e 
تشویش 1.0	td y S v i S 
تعداد 1.0	td y y dd A dd 
تقسیم 1.0	td y q s i m 
تمام 1.0	td y m A m 
تن 1.0	td y n 
تو 1.0	td o 
تو 1.0	td u 
توجه 1.0	td y v y dZ dZ o 
تپتی 1.0	td y p td i 
تک 1.0	td U k 
تک 1.0	td y k 
تھا 1.0	tdh A 
تھی 1.0	tdh i 
تھیں 1.0	tdh i~ 
تھے 1.0	tdh e 
تیس 1.0	td i s 
تین 1.0	td i n 
ثانی 1.0	s A n i 
ثبوت 1.0	s U b u td 
جاءیں 1.0	dZ A e~ 
جاءے 1.0	dZ A e 
جاتی 1.0	dZ A td i 
جانتے 1.0	dZ A n td e 
جانے 1.0	dZ A n e 
جب 1.0	dZ y b 
جبکه 1.0	dZ y b k e 
جس 1.0	dZ i s 
جن 1.0	dZ i n 
جهاں 1.0	dZ y h A~ 
جو 1.0	dZ o 
جیسا 1.0	dZ Y s A 
جیسی 1.0	dZ Y s i 
جیسے 1.0	dZ Y s e 
حالی 1.0	h A l i 
حتی 1.0	h y td td A 
حوالے 1.0	h y v A l e 
حکمران 1.0	h U k m y r A n 
حکمرانوں 1.0	h U k m y r A n o~ 
حکومت 1.0	h U k u m y td 
حکومت 1.0	h y k u m y td 
خاصی 1.0	x A s i 
خاندان 1.0	x A n dd A n 
ختم 1.0	x y td m 
خرید 1.0	x y r i dd 
خسته 1.0	x y s td A 
خصوصا 1.0	x U s u s y n 
خواص 1.0	x o A s 
خودکفیل 1.0	x U dd k y f i l 
خوراک 1.0	x U r A k 
خوش 1.0	x U S 
خوشحال 1.0	x U S h A l 
خوشحالی 1.0	x U S h A l i 
خون 1.0	x u n 
خیال 1.0	x y j A l 
داری 1.0	dd A r i 
داموں 1.0	dd A m o~ 
دشمن 1.0	dd U S m y n 
دشواری 1.0	dd U S v A r i 
دفن 1.0	dd y f n 
دل 1.0	dd i l 
دلچسپی 1.0	dd i l tS y s p i 
دن 1.0	dd i n 
دنیا 1.0	dd U n j A 
دوباره 1.0	dd o b A r A 
دور 1.0	dd O r 
دور 1.0	dd o r 
دور 1.0	dd u r 
دوران 1.0	dd o r A n 
